customer_city,product_category_name_english,total_orders
sao paulo,bed_bath_table,1950
rio de janeiro,bed_bath_table,829
belo horizonte,bed_bath_table,348
brasilia,health_beauty,242
porto alegre,bed_bath_table,174
campinas,bed_bath_table,165
curitiba,furniture_decor,151
salvador,health_beauty,135
guarulhos,bed_bath_table,133
niteroi,bed_bath_table,104
santos,bed_bath_table,101
sao bernardo do campo,furniture_decor,100
jundiai,bed_bath_table,96
santo andre,bed_bath_table,89
goiania,health_beauty,87
osasco,bed_bath_table,85
ribeirao preto,bed_bath_table,78
recife,health_beauty,74
sorocaba,furniture_decor,74
fortaleza,watches_gifts,73
sao jose dos campos,health_beauty,73
florianopolis,computers_accessories,61
carapicuiba,bed_bath_table,57
contagem,sports_leisure,57
praia grande,bed_bath_table,55
sao jose do rio preto,bed_bath_table,54
nova iguacu,bed_bath_table,53
belem,health_beauty,51
vitoria,bed_bath_table,51
barueri,bed_bath_table,48
taboao da serra,bed_bath_table,48
sao goncalo,bed_bath_table,47
piracicaba,bed_bath_table,45
maua,bed_bath_table,44
juiz de fora,health_beauty,43
indaiatuba,bed_bath_table,43
cotia,bed_bath_table,42
diadema,bed_bath_table,41
sao luis,health_beauty,41
mogi das cruzes,sports_leisure,40
uberlandia,bed_bath_table,40
duque de caxias,bed_bath_table,38
vila velha,sports_leisure,37
taubate,health_beauty,36
campo grande,sports_leisure,36
joao pessoa,health_beauty,36
londrina,bed_bath_table,35
macae,bed_bath_table,35
caxias do sul,furniture_decor,35
montes claros,health_beauty,34
volta redonda,bed_bath_table,34
sao caetano do sul,sports_leisure,34
cuiaba,health_beauty,34
bauru,sports_leisure,34
campos dos goytacazes,bed_bath_table,33
maceio,health_beauty,32
jaboatao dos guararapes,health_beauty,32
sao carlos,bed_bath_table,32
maringa,furniture_decor,32
joinville,health_beauty,30
petropolis,computers_accessories,30
limeira,bed_bath_table,29
guaruja,bed_bath_table,29
franca,furniture_decor,29
teresina,health_beauty,28
serra,computers_accessories,28
canoas,furniture_decor,28
natal,watches_gifts,27
araraquara,bed_bath_table,27
suzano,bed_bath_table,27
rio claro,bed_bath_table,26
aracaju,health_beauty,26
pelotas,bed_bath_table,26
valinhos,bed_bath_table,26
cascavel,furniture_decor,25
americana,bed_bath_table,25
santa cruz do sul,furniture_decor,25
sumare,bed_bath_table,25
novo hamburgo,housewares,24
presidente prudente,furniture_decor,24
aracatuba,sports_leisure,24
jandira,bed_bath_table,24
cabo frio,bed_bath_table,24
resende,furniture_decor,23
palmas,health_beauty,23
betim,watches_gifts,23
atibaia,bed_bath_table,23
jacarei,furniture_decor,23
santana de parnaiba,health_beauty,23
marilia,bed_bath_table,23
itapevi,sports_leisure,22
sao vicente,bed_bath_table,22
braganca paulista,bed_bath_table,22
rio verde,housewares,22
jaragua do sul,furniture_decor,21
uberaba,computers_accessories,21
santa maria,bed_bath_table,21
paulinia,bed_bath_table,20
ipatinga,housewares,20
itaquaquecetuba,health_beauty,20
embu das artes,health_beauty,20
sao jose,bed_bath_table,19
blumenau,sports_leisure,19
barra mansa,bed_bath_table,19
uniao da vitoria,furniture_decor,19
lorena,sports_leisure,19
divinopolis,garden_tools,19
passo fundo,bed_bath_table,18
ribeirao das neves,bed_bath_table,18
botucatu,bed_bath_table,18
chapeco,furniture_decor,18
itajuba,computers_accessories,18
itu,bed_bath_table,18
manaus,health_beauty,18
mage,bed_bath_table,17
ponta grossa,sports_leisure,17
marica,watches_gifts,17
pouso alegre,bed_bath_table,17
rio das ostras,bed_bath_table,17
lagoa santa,housewares,17
criciuma,bed_bath_table,17
franco da rocha,bed_bath_table,17
francisco morato,bed_bath_table,17
anapolis,sports_leisure,17
hortolandia,bed_bath_table,17
vicosa,bed_bath_table,17
vitoria da conquista,health_beauty,16
rio grande,bed_bath_table,16
mogi-guacu,furniture_decor,16
ferraz de vasconcelos,sports_leisure,16
feira de santana,health_beauty,16
birigui,health_beauty,16
belford roxo,bed_bath_table,16
teresopolis,bed_bath_table,16
itapetininga,furniture_decor,16
paracatu,bed_bath_table,16
jau,health_beauty,16
governador valadares,computers_accessories,16
guarapuava,furniture_decor,15
porto velho,health_beauty,15
nilopolis,bed_bath_table,15
sao jose dos pinhais,furniture_decor,15
cariacica,furniture_decor,15
cicero dantas,office_furniture,15
itatiba,sports_leisure,15
cachoeiro de itapemirim,bed_bath_table,15
sete lagoas,bed_bath_table,15
itanhaem,furniture_decor,15
tupa,computers_accessories,14
sao joao da boa vista,bed_bath_table,14
caieiras,bed_bath_table,14
nova friburgo,computers_accessories,14
assis,housewares,14
pindamonhangaba,health_beauty,14
barbacena,bed_bath_table,14
caraguatatuba,housewares,14
mogi mirim,bed_bath_table,14
pato branco,furniture_decor,14
palhoca,furniture_decor,14
uba,bed_bath_table,14
olinda,sports_leisure,14
patos de minas,health_beauty,14
ituiutaba,computers_accessories,14
viamao,sports_leisure,14
aparecida de goiania,bed_bath_table,13
itajai,health_beauty,13
araruama,bed_bath_table,13
itapecerica da serra,sports_leisure,13
pocos de caldas,computers_accessories,13
